"","year","eduID","partyID"
"663",1952,2,3
"664",1952,1,3
"665",1952,2,2
"666",1952,2,3
"667",1952,2,3
"668",1952,2,1
"669",1952,1,2
"670",1952,2,1
"672",1952,1,3
"673",1952,2,1
"674",1952,4,3
"675",1952,2,1
"676",1952,1,1
"677",1952,2,3
"678",1952,2,1
"679",1952,1,1
"680",1952,1,1
"681",1952,2,3
"682",1952,2,1
"683",1952,2,3
"684",1952,2,3
"685",1952,1,3
"686",1952,1,1
"689",1952,2,1
"690",1952,1,3
"691",1952,2,1
"692",1952,1,1
"693",1952,1,1
"694",1952,1,1
"696",1952,1,1
"697",1952,2,1
"698",1952,1,3
"699",1952,1,1
"701",1952,4,1
"702",1952,2,1
"703",1952,2,1
"704",1952,1,1
"705",1952,2,3
"706",1952,1,2
"707",1952,2,3
"708",1952,1,3
"709",1952,2,3
"710",1952,1,3
"711",1952,1,1
"712",1952,2,2
"713",1952,1,3
"714",1952,1,3
"715",1952,1,1
"716",1952,4,3
"718",1952,2,1
"719",1952,1,1
"720",1952,2,3
"721",1952,1,1
"722",1952,1,1
"723",1952,2,2
"724",1952,1,3
"725",1952,2,1
"726",1952,1,1
"727",1952,2,1
"728",1952,1,1
"729",1952,2,1
"730",1952,2,3
"731",1952,2,1
"732",1952,4,3
"733",1952,2,3
"734",1952,2,2
"735",1952,2,3
"736",1952,1,1
"737",1952,1,3
"738",1952,2,1
"740",1952,2,3
"741",1952,1,1
"742",1952,1,3
"743",1952,2,3
"744",1952,4,1
"745",1952,1,3
"746",1952,1,3
"747",1952,1,2
"748",1952,3,1
"749",1952,1,3
"750",1952,2,3
"751",1952,2,3
"752",1952,2,1
"753",1952,2,3
"754",1952,1,1
"755",1952,1,1
"756",1952,2,3
"757",1952,4,1
"758",1952,1,1
"759",1952,2,1
"761",1952,1,3
"762",1952,1,1
"763",1952,1,1
"765",1952,1,1
"766",1952,1,1
"767",1952,1,1
"768",1952,2,1
"769",1952,3,3
"770",1952,2,3
"771",1952,2,3
"772",1952,2,3
"773",1952,1,1
"774",1952,1,1
"775",1952,1,1
"776",1952,1,3
"777",1952,2,3
"778",1952,1,2
"779",1952,1,3
"780",1952,4,3
"781",1952,2,3
"782",1952,2,1
"783",1952,1,1
"784",1952,1,3
"786",1952,2,1
"787",1952,1,1
"788",1952,1,3
"789",1952,1,1
"790",1952,2,3
"791",1952,1,3
"792",1952,1,1
"793",1952,4,3
"794",1952,2,3
"795",1952,2,3
"796",1952,2,3
"798",1952,1,3
"799",1952,2,1
"800",1952,3,1
"801",1952,2,3
"802",1952,2,1
"803",1952,2,1
"804",1952,1,1
"805",1952,1,1
"807",1952,1,1
"808",1952,3,3
"809",1952,4,1
"810",1952,3,1
"811",1952,2,3
"812",1952,2,1
"813",1952,4,1
"814",1952,4,1
"815",1952,1,3
"816",1952,4,1
"817",1952,2,1
"818",1952,2,3
"819",1952,2,1
"820",1952,1,3
"821",1952,1,3
"822",1952,1,1
"825",1952,2,3
"826",1952,1,1
"827",1952,1,1
"828",1952,2,3
"829",1952,2,3
"830",1952,4,3
"831",1952,1,3
"832",1952,2,1
"833",1952,2,2
"834",1952,2,1
"835",1952,1,1
"836",1952,2,1
"837",1952,3,1
"838",1952,1,3
"839",1952,1,3
"840",1952,2,1
"842",1952,1,1
"843",1952,2,1
"844",1952,2,1
"845",1952,1,1
"846",1952,2,3
"847",1952,1,1
"848",1952,2,3
"849",1952,1,3
